               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,           0.0098078,           0.0037541,                   0,             0.99992,                   1,               0.995,             0.93952,           0.0057986,           0.0017211,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.010049,           0.0038492,                   0,             0.99992,                   1,               0.995,              0.9414,           0.0057819,           0.0017318,                   0,            0.005545,            0.005545,            0.005545
                 137,           0.0098398,           0.0037575,                   0,             0.99991,                   1,               0.995,             0.93905,           0.0058271,           0.0017309,                   0,            0.005512,            0.005512,            0.005512
                 138,           0.0098342,           0.0037919,                   0,             0.99992,                   1,               0.995,             0.93136,            0.006169,           0.0017863,                   0,            0.005479,            0.005479,            0.005479
                 139,           0.0099427,           0.0038104,                   0,             0.99992,                   1,               0.995,              0.9361,           0.0060919,           0.0017579,                   0,            0.005446,            0.005446,            0.005446
                 140,           0.0099287,           0.0038384,                   0,             0.99992,                   1,               0.995,             0.93424,           0.0060446,           0.0017598,                   0,            0.005413,            0.005413,            0.005413
                 141,           0.0097011,           0.0037568,                   0,             0.99992,                   1,               0.995,             0.93993,           0.0059372,           0.0017466,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.009717,           0.0037511,                   0,             0.99992,                   1,               0.995,             0.94087,           0.0059116,           0.0017474,                   0,            0.005347,            0.005347,            0.005347
                 143,           0.0096565,           0.0037725,                   0,             0.99992,                   1,               0.995,             0.94048,           0.0058817,           0.0017362,                   0,            0.005314,            0.005314,            0.005314
                 144,           0.0098608,           0.0037401,                   0,             0.99991,                   1,               0.995,             0.93907,           0.0059189,            0.001745,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.009812,           0.0038146,                   0,             0.99991,                   1,               0.995,             0.93681,            0.005867,           0.0017423,                   0,            0.005248,            0.005248,            0.005248
                 146,           0.0096307,           0.0037053,                   0,             0.99991,                   1,               0.995,             0.93562,           0.0059209,           0.0017441,                   0,            0.005215,            0.005215,            0.005215
                 147,           0.0096689,           0.0037608,                   0,              0.9999,                   1,               0.995,             0.93635,           0.0058912,            0.001755,                   0,            0.005182,            0.005182,            0.005182
                 148,           0.0095992,           0.0037848,                   0,             0.99987,                   1,               0.995,             0.93904,            0.005921,            0.001773,                   0,            0.005149,            0.005149,            0.005149
                 149,           0.0097108,           0.0037765,                   0,              0.9999,                   1,               0.995,             0.93957,           0.0059257,           0.0017651,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.009543,           0.0037587,                   0,             0.99991,                   1,               0.995,             0.94096,           0.0059126,           0.0017818,                   0,            0.005083,            0.005083,            0.005083
                 151,           0.0096845,           0.0037275,                   0,             0.99992,                   1,               0.995,             0.94198,           0.0059641,           0.0017688,                   0,             0.00505,             0.00505,             0.00505
                 152,           0.0095516,           0.0037809,                   0,             0.99991,                   1,               0.995,             0.93975,           0.0059814,            0.001749,                   0,            0.005017,            0.005017,            0.005017
                 153,           0.0096525,           0.0037723,                   0,             0.99991,                   1,               0.995,             0.93862,           0.0059045,           0.0017522,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.009631,           0.0037489,                   0,             0.99992,                   1,               0.995,             0.93677,           0.0059447,            0.001777,                   0,            0.004951,            0.004951,            0.004951
                 155,           0.0094259,           0.0036194,                   0,             0.99991,                   1,               0.995,             0.93693,           0.0059225,           0.0017591,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.00926,           0.0037019,                   0,             0.99991,                   1,               0.995,             0.93701,            0.005933,           0.0017479,                   0,            0.004885,            0.004885,            0.004885
                 157,           0.0093974,           0.0036877,                   0,              0.9999,                   1,               0.995,             0.93745,           0.0059136,           0.0017437,                   0,            0.004852,            0.004852,            0.004852
                 158,           0.0095259,           0.0037182,                   0,             0.99989,                   1,               0.995,             0.93911,           0.0058488,           0.0017544,                   0,            0.004819,            0.004819,            0.004819
                 159,           0.0093294,           0.0036238,                   0,              0.9999,                   1,               0.995,             0.93608,           0.0060303,           0.0017885,                   0,            0.004786,            0.004786,            0.004786
                 160,           0.0095382,           0.0036894,                   0,             0.99991,                   1,               0.995,             0.93537,           0.0059024,           0.0017711,                   0,            0.004753,            0.004753,            0.004753
                 161,           0.0093691,           0.0036725,                   0,             0.99991,                   1,               0.995,             0.93645,            0.005887,           0.0017831,                   0,             0.00472,             0.00472,             0.00472
                 162,           0.0092947,           0.0036424,                   0,             0.99992,                   1,               0.995,             0.93669,           0.0058537,           0.0017813,                   0,            0.004687,            0.004687,            0.004687
                 163,           0.0093165,           0.0036783,                   0,             0.99992,                   1,               0.995,             0.93549,            0.005797,           0.0017525,                   0,            0.004654,            0.004654,            0.004654
